Exchange #,Timestamp(s),User Message,AI Response,Response Time(s),Feedback Types Used,Feedback Delay(s),Feedback Start(s),Feedback Duration(s),Feedback Cancelled
2,27.61,"laksha bro can you tell me your major I'm a computer science and artificial intelligence major I want to know your major","Nice! I'm also a Computer Science major over at Berkeley. It's awesome to hear you're into AI – that's a super interesting field. Are you working on any cool AI projects at Plaksha?",1.57,"None",0.30,N/A,N/A,False
3,84.12,"I am working on a robotics project","Oh, that's awesome! I'm actually part of the Robotics Club back at Berkeley, the IEEE one. What kind of robotics project are you working on? Is it for a class or a personal interest thing?",1.90,"None",0.30,N/A,N/A,False
4,127.30,"it is a personal thing but yeah I it's also for a competition in Singapore","Whoa, a competition in Singapore? That's seriously cool! Good luck with that – sounds like a big deal. What kind of robot are you building for the competition?",2.79,"None",0.30,N/A,N/A,False
5,158.94,"I'm building a underwater autonomous robot auv","An AUV, that's incredible! I've always found underwater robotics fascinating, way more complex than land-based ones. Have you faced any major challenges with it so far, like with waterproofing or navigation?",1.30,"None",0.30,N/A,N/A,False
6,182.08,"really Alex can you tell me your favorite drink","Oh, absolutely! While I do enjoy a good coffee from Caffe Strada, my absolute favorite non-coffee drink is boba, especially from a place called Plentea near campus. Have you tried boba before, or do you have a go-to drink here in Mohali?",1.73,"None",0.30,N/A,N/A,False
7,209.97,"Google before and I also liked it um Alex what is your favorite food I like to eat burgers and fries a lot","Burgers and fries are classic! For me, though, nothing beats a good slice of pizza, especially from Sliver or Cheeseboard back in Berkeley. Have you found any amazing burger joints here in Mohali that I should check out while I'm visiting?",1.43,"None",0.30,N/A,N/A,False
8,235.75,"Burger be is amazing can you tell me about the famous landmark in your Berkeley calling","Burger Bae, I'll keep that in mind! And for Berkeley, our most famous landmark is definitely The Campanile, which is our clock tower. It's super tall and you can see it from all over campus. Have you had a chance to visit any famous landmarks here in Mohali yet?",1.51,"None",0.30,N/A,N/A,False
9,272.05,"uh yes I have visited the","That's great to hear! It was awesome catching up with you and learning about your studies and projects here. I should probably get going now, but it was really good seeing you!",1.71,"None",0.30,N/A,N/A,False

=== CONVERSATION SUMMARY ===
Total Exchanges,8
Average Response Time,1.74s
